Account;Reference Key 1;Reference;Document Date;Net due date;Amount in local currency;Amount in doc. curr.;Local Currency;Payment Method;Text;Assignment;Document Number;Clearing Document;Document Type;User Name;Reason code;Posting Key;Debit/Credit ind;Last Dunned;Dunning Level;Arrears after net due date,,
AB10000000;1418599381;04/06/2025;20/06/2025;47,430.56;47,430.56;EUR;B;;1430619478;8409886;2001252033;RV;B_BILAB01_02;;1;S;0;-3;-6;42
AB10000000;1423702040;13/06/2025;01/07/2025;36,142.86;36,142.86;EUR;I;;1479067848;8418616;2098152755;RV;B_BILAB01_02;;1;S;0;-15;-16;6
AB10000000;1482563098;30/06/2025;18/07/2025;7,137.13;7,137.13;EUR;I;;1483713946;8495773;2053048436;RV;B_BILAB01_02;;1;S;0;-13;-20;16
AB10000000;1493447439;20/06/2025;02/07/2025;49,362.33;49,362.33;EUR;I;;1464078149;8411745;2035334266;RV;B_BILAB01_02;;1;S;0;-8;-11;54
AB10000000;1448431028;24/06/2025;04/07/2025;6,618.33;6,618.33;EUR;C;;1477986900;8446042;2033474537;RV;B_BILAB01_02;;1;S;0;-6;-20;61
AB10000000;1413748020;25/06/2025;02/07/2025;10,819.76;10,819.76;EUR;C;;1485411301;8495385;2014411254;RV;B_BILAB01_02;;1;S;0;-7;-4;49
AB10000001;1400180153;29/06/2025;11/07/2025;65,047.12;65,047.12;EUR;B;;1471387091;8461773;;RV;B_BILAB01_02;;1;S;0;-15;-9;22
AB10000001;1469340357;03/07/2025;13/07/2025;6,562.32;6,562.32;EUR;I;;1437561251;8497708;2064090822;RV;B_BILAB01_02;;1;S;0;-7;-6;55
AB10000001;1431801039;29/06/2025;14/07/2025;22,315.19;22,315.19;EUR;I;;1447658483;8498378;2005592201;RV;B_BILAB01_02;;1;S;0;-1;-11;40
AB10000001;1442300235;26/07/2025;31/07/2025;42,457.04;42,457.04;EUR;C;;1477476979;8433201;2025232106;RV;B_BILAB01_02;;1;S;0;-14;-10;30
AB10000001;1431773258;20/06/2025;04/07/2025;46,599.02;46,599.02;EUR;I;;1444661777;8435734;2096384491;RV;B_BILAB01_02;;1;S;0;-12;-2;44
AB10000001;1474347401;03/07/2025;12/07/2025;23,352.49;23,352.49;EUR;B;;1460230931;8474367;;RV;B_BILAB01_02;;1;S;0;-11;-4;50
AB10000001;1435720368;06/06/2025;18/06/2025;17,760.60;17,760.60;EUR;C;;1465958545;8439388;2077944031;RV;B_BILAB01_02;;1;S;0;-1;-8;31
AB10000001;1400795152;28/06/2025;09/07/2025;58,856.88;58,856.88;EUR;B;;1430918109;8454398;2081906993;RV;B_BILAB01_02;;1;S;0;-5;-8;28
AB10000001;1466952063;18/06/2025;23/06/2025;34,923.00;34,923.00;EUR;I;;1486433056;8488593;;RV;B_BILAB01_02;;1;S;0;-2;-15;20
AB10000001;1494584449;27/06/2025;14/07/2025;15,630.72;15,630.72;EUR;C;;1425475890;8475522;2021194636;RV;B_BILAB01_02;;1;S;0;-10;-6;31
AB10000001;1447941321;30/07/2025;06/08/2025;17,287.35;17,287.35;EUR;B;;1490679937;8432958;2081030667;RV;B_BILAB01_02;;1;S;0;-2;-10;60
AB10000001;1465960552;17/06/2025;26/06/2025;37,932.84;37,932.84;EUR;C;;1469426356;8415971;2094922985;RV;B_BILAB01_02;;1;S;0;-6;-12;9
AB10000001;1495214196;17/07/2025;25/07/2025;34,307.89;34,307.89;EUR;C;;1450669508;8467740;2096986274;RV;B_BILAB01_02;;1;S;0;-3;-4;15
AB10000001;1449318091;18/07/2025;03/08/2025;22,529.32;22,529.32;EUR;C;;1424831568;8452757;2094174155;RV;B_BILAB01_02;;1;S;0;-5;-8;50
AB10000002;1476964059;10/07/2025;26/07/2025;44,616.38;44,616.38;EUR;B;;1403444520;8408283;2059468598;RV;B_BILAB01_02;;1;S;0;-5;-19;15
AB10000002;1436276448;02/06/2025;07/06/2025;51,832.75;51,832.75;EUR;B;;1473553011;8406215;;RV;B_BILAB01_02;;1;S;0;-7;-19;50
AB10000002;1481913654;26/06/2025;05/07/2025;59,453.91;59,453.91;EUR;C;;1444787549;8438537;2023056626;RV;B_BILAB01_02;;1;S;0;-2;-13;28
AB10000002;1470479284;07/07/2025;16/07/2025;21,528.77;21,528.77;EUR;C;;1469165266;8479389;2039323750;RV;B_BILAB01_02;;1;S;0;-13;-15;0
AB10000002;1451232872;20/06/2025;08/07/2025;11,846.96;11,846.96;EUR;B;;1477157948;8477678;2029476141;RV;B_BILAB01_02;;1;S;0;-11;-6;9
AB10000002;1454865856;05/06/2025;23/06/2025;63,783.24;63,783.24;EUR;C;;1407213602;8441703;2034165851;RV;B_BILAB01_02;;1;S;0;-7;-2;36
AB10000002;1475604339;04/06/2025;22/06/2025;68,542.99;68,542.99;EUR;C;;1468304033;8417965;2053406579;RV;B_BILAB01_02;;1;S;0;-5;0;62
AB10000003;1403781297;11/06/2025;16/06/2025;25,126.65;25,126.65;EUR;B;;1433460986;8442179;2072444692;RV;B_BILAB01_02;;1;S;0;-9;-12;24
AB10000003;1492077852;07/07/2025;13/07/2025;15,154.21;15,154.21;EUR;I;;1453749764;8418598;2012200032;RV;B_BILAB01_02;;1;S;0;-12;0;18
AB10000003;1445639861;12/07/2025;24/07/2025;5,587.46;5,587.46;EUR;B;;1492796238;8415847;;RV;B_BILAB01_02;;1;S;0;-10;-20;50
AB10000003;1413296896;19/07/2025;03/08/2025;66,769.79;66,769.79;EUR;B;;1452718197;8426207;2031718688;RV;B_BILAB01_02;;1;S;0;-10;-20;19
AB10000003;1446707093;27/06/2025;02/07/2025;13,918.24;13,918.24;EUR;B;;1442973829;8473119;;RV;B_BILAB01_02;;1;S;0;-2;-17;52
AB10000003;1456844126;20/07/2025;08/08/2025;23,769.16;23,769.16;EUR;I;;1484808203;8443384;2039130234;RV;B_BILAB01_02;;1;S;0;-4;-5;6
AB10000003;1423084903;12/06/2025;19/06/2025;18,505.09;18,505.09;EUR;B;;1434687680;8423392;2011834117;RV;B_BILAB01_02;;1;S;0;0;-5;40
AB10000004;1404024944;14/06/2025;22/06/2025;26,449.82;26,449.82;EUR;B;;1495231559;8485553;2053587193;RV;B_BILAB01_02;;1;S;0;-10;-13;2
AB10000004;1416344599;30/07/2025;18/08/2025;65,286.31;65,286.31;EUR;C;;1401395115;8416301;;RV;B_BILAB01_02;;1;S;0;-12;-10;53
AB10000004;1415322994;21/06/2025;30/06/2025;12,299.58;12,299.58;EUR;B;;1415461475;8456635;2079701004;RV;B_BILAB01_02;;1;S;0;-4;-6;16
AB10000004;1412380047;13/07/2025;01/08/2025;29,371.05;29,371.05;EUR;C;;1448675300;8474065;2030315240;RV;B_BILAB01_02;;1;S;0;-4;0;4
AB10000004;1454566149;11/07/2025;24/07/2025;59,443.11;59,443.11;EUR;C;;1472857127;8436230;2002431069;RV;B_BILAB01_02;;1;S;0;-15;-11;54
AB10000004;1431712167;02/07/2025;08/07/2025;66,645.27;66,645.27;EUR;I;;1411726760;8401810;2026946258;RV;B_BILAB01_02;;1;S;0;-3;-15;16
AB10000004;1431323776;15/06/2025;26/06/2025;59,474.35;59,474.35;EUR;I;;1450520722;8416134;2080531128;RV;B_BILAB01_02;;1;S;0;-14;-12;11
AB10000004;1473595999;04/07/2025;15/07/2025;12,152.68;12,152.68;EUR;I;;1415267695;8472882;2095672530;RV;B_BILAB01_02;;1;S;0;-8;-6;30
AB10000004;1498469741;28/06/2025;11/07/2025;38,297.43;38,297.43;EUR;C;;1487406456;8425144;2097681597;RV;B_BILAB01_02;;1;S;0;-8;-10;38
AB10000004;1437111952;21/06/2025;29/06/2025;25,895.61;25,895.61;EUR;C;;1421422247;8465294;2066224383;RV;B_BILAB01_02;;1;S;0;-14;-6;57
AB10000005;1422151476;04/07/2025;21/07/2025;6,052.28;6,052.28;EUR;C;;1441511488;8455089;;RV;B_BILAB01_02;;1;S;0;-1;-2;9
AB10000005;1487222909;19/06/2025;24/06/2025;60,031.94;60,031.94;EUR;I;;1477411004;8412178;2061218247;RV;B_BILAB01_02;;1;S;0;0;-13;3
AB10000005;1409568034;26/06/2025;14/07/2025;9,162.50;9,162.50;EUR;I;;1426190750;8463015;;RV;B_BILAB01_02;;1;S;0;-8;-12;45
AB10000005;1432437658;19/06/2025;05/07/2025;64,778.94;64,778.94;EUR;C;;1415904018;8401015;2070260084;RV;B_BILAB01_02;;1;S;0;-11;-7;41
AB10000005;1423341640;04/06/2025;12/06/2025;51,759.68;51,759.68;EUR;B;;1445775900;8427173;2079839925;RV;B_BILAB01_02;;1;S;0;-13;-1;41
