GFN Account Number;Account Name;Account Owner;Accounting Clerk: Accounting Clerk Code;Banding;Legal Entity;Market Segment / Characteristics;Sales Rep Code;GFN Status
AB10000000;Alpha Transport Ltd;Emily Lewis;1E;Platinum;Ltd;Education;50070404;Blocked
AB10000001;Beta Transport Ltd;Alice Thompson;4H;Bronze;Ltd;Energy;50057433;Blocked
AB10000002;Gamma Transport Ltd;Emma Johnson;7K;Platinum;Unlimited;Energy;50036881;Active
AB10000003;Delta Transport Ltd;Olivia Davis;8L;Platinum;CIC;Manufacturing;50074974;Active
AB10000004;Epsilon Transport Ltd;Sophie Green;1E;Silver;PLC;Finance;50053751;Active
AB10000005;Zeta Transport Ltd;Daniel Smith;2F;Silver;Unlimited;Energy;50053067;Active
AB10000006;Eta Transport Ltd;Gerard van Herpen;2F;Bronze;Ltd;Wholesale;50054631;Active
AB10000007;Theta Transport Ltd;Emma Johnson;7K;Gold;PLC;Wholesale;50074955;Active
AB10000008;Iota Transport Ltd;Alice Thompson;3G;Silver;PLC;Energy;50053781;Blocked
AB10000009;Kappa Transport Ltd;Sophie Green;8L;Platinum;PLC;Retail;50010240;Blocked
AB10000010;Lambda Transport Ltd;Alice Thompson;0N;Platinum;Unlimited;Energy;50007813;Active
AB10000011;Mu Transport Ltd;James White;1E;Silver;LLP;Healthcare;50084352;Blocked
AB10000012;Nu Transport Ltd;William Clark;4H;Bronze;LLP;Energy;50012471;Blocked
AB10000013;Xi Transport Ltd;James White;0N;Bronze;PLC;Education;50057776;Active
AB10000014;Omicron Transport Ltd;Gerard van Herpen;7K;Platinum;Ltd;Energy;50096870;Blocked
AB10000015;Pi Transport Ltd;Olivia Davis;7K;Gold;Unlimited;Healthcare;50092672;Active
AB10000016;Rho Transport Ltd;Emma Johnson;2F;Silver;LLP;Technology;50079401;Active
AB10000017;Sigma Transport Ltd;Michael Brown;0N;Bronze;PLC;Technology;50038255;Active
AB10000018;Tau Transport Ltd;Emma Johnson;4H;Silver;Unlimited;Retail;50038273;Blocked
AB10000019;Upsilon Transport Ltd;Emma Johnson;3G;Bronze;Unlimited;Manufacturing;50096081;Blocked
AB10000020;Phi Transport Ltd;James White;0N;Platinum;Unlimited;Manufacturing;50082238;Blocked
AB10000021;Chi Transport Ltd;Daniel Smith;6J;Gold;PLC;Wholesale;50003351;Blocked
AB10000022;Psi Transport Ltd;Sophie Green;3G;Silver;Ltd;Education;50095534;Blocked
